fecha,tipo,total,label
2023-10-12,viaje,2230,sudeste
2023-11-05,viaje,1825,agr/ch
2024-02-11,viaje,4811.76,filipinas
2024-04-25,viaje,1628,chile
2024-06-08,viaje,1929,andalucia
2024-06-14,viaje,871,chile
2024-09-14,viaje,-4201,papas gaston
2024-09-22,otros,650,iphone
2024-10-11,viaje,5661,Bali 2024
2024-10-19,viaje,2701,papas diego
2024-11-11,viaje,1148,maspalomas
2025-02-05,viaje,4568,filipinas
2025-02-12,viaje,540,argentina
2025-03-06,viaje,4765,col/cun
2025-03-12,viaje,449.12,estavar
2025-03-25,viaje,1600,chile
2025-04-23,viaje,8646,Sudeste Asiatico
2025-06-12,viaje,1634.89,menorca
2025-07-11,otros,1781,tv + barra
2025-07-19,viaje,1750.75,santorini
2025-08-04,otros,4398.3,master
2025-08-07,viaje,592,barcelona
2025-09-10,otros,1400,coronas
2025-09-12,viaje,6700,Bali 2025
2025-11-02,otros,1600,implantes
2025-12-09,viaje,6300,cancun 2025
